6510	5	63715
6981	7	68137
6982	7	611137
8813	6	411136
8858	1	415511
8858	1	61581
8858	1	615111
11544	8	41148
11544	1	448191
6528	3	72543
6528	5	74395
13682	5	74325
13682	3	79543
13682	5	743185
13682	5	717325
13682	5	717395
13682	3	7185173
13682	5	72325
13682	5	72395
13682	5	723185
15642	7	914517
15642	5	937145
15642	7	914577
15642	7	914517
15642	7	9145137
15642	7	9145157
15642	7	9145217
15956	4	382244
19035	5	917145
19035	7	914537
19035	5	977145
19035	5	917145
19035	5	9137145
19035	5	9157145
19035	5	9217145
21596	3	718543
21596	5	743275
21596	5	743315
21596	3	725173
21596	3	795173
21596	5	7173185
21596	5	7173275
21596	5	7173315
21596	3	72523
21596	3	79523
21596	3	718523
21596	5	723275
21596	5	723315
21597	5	729325
21597	5	729395
21597	5	7293185
21597	3	7275293
21597	5	7293315
21597	5	733325
21597	5	733395
21597	5	7333185
21597	5	7333275
21597	3	7315333
21597	5	741325
21597	5	741395
21597	5	7413185
21597	5	7413275
21597	5	7413315
22208	2	343782
22907	5	74125
22907	5	74195
22907	5	741185
22907	5	741275
22907	5	741315
24045	1	74341
24045	1	717341
24045	1	72341
24045	1	729341
24045	1	733341
24045	3	741413
24046	3	75143
24046	3	751173
24046	3	75123
24046	3	751293
24046	3	751333
24046	3	751413
14743	7	99317
14743	3	93793
14743	7	99357
14743	7	99367
14743	7	99387
14743	7	993117
14743	3	917123
14743	7	912337
14743	7	912357
14743	7	912367
14743	7	912387
14743	7	9123117
14743	7	919317
14743	7	919337
14744	3	957193
14744	7	919367
14744	7	919387
14744	7	9193117
14744	7	6253157
17069	3	72543
17069	5	74315
17069	5	99375
17069	5	912375
17069	5	919375
17248	2	5134162
17248	4	5162224
17248	4	5172134
17248	2	5224172
17248	4	5212134
17248	4	5212224
17315	6	421186
17315	1	4186241
17899	8	4186148
17899	8	4186238
18614	7	97517
18614	7	97537
18614	7	97557
18614	7	97567
18614	7	97587
18614	7	975117
13556	3	72573
13556	5	773125
13556	5	773155
13556	5	721325
13556	3	7125213
13556	5	7213155
16655	5	77325
16655	3	712573
16655	3	715573
16655	5	773245
16655	3	725213
16655	5	7213125
16655	3	7155213
16655	5	7213245
21808	4	362174
21808	2	3174142
21808	4	3282174
22034	6	3174266
22034	6	3174296
23052	5	91725
23052	7	92537
23052	7	92557
23052	7	92517
23052	7	925197
23052	7	925227
23052	7	925277
23052	7	925317
23052	7	925347
25269	2	326662
25269	2	329662
25269	6	3142266
25269	6	3142296
25269	2	3266282
25269	2	3296282
25269	6	1372386
25269	2	1386442
13817	3.0	917163
13817	7.0	916347
13817	7.0	916357
13817	7.0	916377
13817	7.0	9163117
13817	7.0	9163147
13817	7.0	9163157
13817	7.0	9163197
13817	7.0	9163237
16358	7.0	917517
16358	5.0	947175
16358	7.0	917557
16358	7.0	917577
16358	7.0	9175117
16358	7.0	9175147
16358	7.0	9175157
16358	7.0	9175197
16358	7.0	9175237
16358	7.0	9175247
18759	8.0	4186338
20358	4.0	9163284
20358	4.0	916334
20358	3.0	9284373
20358	4.0	937334
20916	6.0	4338186
21095	5.0	9284175
21095	5.0	934175
24192	3.0	9284163
24192	3.0	934163
24192	4.0	9163424
24192	4.0	9163464
24192	4.0	9373284
24192	3.0	934373
24193	4.0	9373424
24193	4.0	9373464
24596	6.0	424186
24596	4.0	441624
26719	4.0	9175284
26719	4.0	917534
26719	5.0	9424175
26719	5.0	9464175
27364	4.0	418624
27364	6.0	424416
28410	5.0	79335
28410	3.0	76593
28410	5.0	793125
28410	5.0	79325
28410	5.0	793275
28410	5.0	793325
28410	5.0	793385
28410	5.0	793435
28410	5.0	9163175
28410	5.0	9373175
8677	1.0	37281
8677	2.0	311172
11922	2.0	38172
11922	2.0	381182
11922	1.0	372111
11922	2.0	3111182
11922	2.0	322172
11922	1.0	3182221
14215	8.0	625758
14215	7.0	698257
17288	1.0	318281
17288	1.0	3182111
17288	1.0	372221
17288	2.0	3221182
17288	2.0	327172
17288	2.0	3271182
17288	2.0	331172
17288	2.0	3311182
17649	8.0	4146168
17649	8.0	2236248
17649	6.0	2338236
17649	6.0	416836
19905	6.0	4297146
19905	7.0	436297
19927	3.0	72543
19927	5.0	74315
19927	5.0	743175
19927	5.0	743215
19927	5.0	743285
19927	5.0	743325
19927	5.0	713325
19927	3.0	715133
19927	5.0	7133175
19927	5.0	7133215
19927	5.0	7133285
19927	5.0	7133325
19927	5.0	72325
19927	5.0	72315
19928	3.0	717523
19928	5.0	723215
19928	5.0	723285
19928	5.0	723325
19928	5.0	738325
19928	5.0	738315
19928	5.0	7383175
19928	3.0	7215383
19928	5.0	7383285
19928	5.0	7383325
21854	7.0	658257
21854	8.0	625798
21854	8.0	4297168
21854	8.0	447168
6356	3.0	72563
8580	8.0	613478
8580	4.0	618134
11539	7.0	6134197
11836	8.0	995158
11836	5.0	918895
12110	4.0	6142134
12111	2.0	6254142
12111	4.0	6172134
12111	4.0	6172254
12394	7.0	915817
12394	8.0	917188
12394	8.0	917268
12394	8.0	947158
12394	8.0	947188
12394	7.0	926847
12394	8.0	987158
12394	8.0	987188
12394	8.0	987268
12394	8.0	9127158
12394	8.0	9127188
12394	8.0	9127268
12394	8.0	619778
12394	8.0	619718
12394	7.0	678237
12394	8.0	623718
6400	3.0	72543
6400	5.0	711325
8875	4.0	37284
8875	2.0	38412
14582	5.0	74325
14582	5.0	743145
14582	5.0	743195
14582	3.0	725113
14582	5.0	7113145
14582	5.0	7113195
16626	2.0	38472
16626	4.0	31284
16626	4.0	116224
16626	2.0	1274162
16626	2.0	124212
16626	4.0	1212274
16737	3.0	714543
16737	3.0	719543
16737	5.0	743255
16737	3.0	7145113
16737	3.0	7195113
16737	5.0	7113255
16737	5.0	726325
16737	5.0	7263145
16737	5.0	7263195
16737	3.0	7255263
20519	1.0	435861
20519	8.0	4121358
21447	3.0	725543
21447	5.0	743345
21447	3.0	7255113
21447	5.0	7113345
21447	3.0	725263
21447	3.0	7145263
21447	3.0	7195263
21447	5.0	7263255
21447	5.0	7263345
21447	5.0	732325
21447	5.0	7323145
21447	5.0	7323195
21447	5.0	7323255
21447	3.0	7345323
21468	3.0	737143
21468	3.0	7371113
21468	3.0	7371263
21468	3.0	7371323
22603	2.0	124162
22603	4.0	1162274
22603	4.0	121224
22603	2.0	1274212
23893	3.0	734543
23893	5.0	743495
23893	3.0	7345113
23893	5.0	7113495
23893	3.0	7345263
23893	5.0	7263495
23893	3.0	725323
23893	3.0	7145323
23893	3.0	7195323
23893	3.0	7255323
23893	5.0	7323345
23893	5.0	7323495
23893	5.0	752325
23893	5.0	7523145
23893	5.0	7523195
23893	5.0	7523255
23893	5.0	7523345
23893	3.0	7495523
23915	1.0	743371
23915	1.0	7113371
23915	1.0	7263371
23915	1.0	7323371
23915	3.0	7371523
23915	3.0	747143
23915	3.0	7471113
23915	3.0	7471263
23915	3.0	7471323
23915	3.0	7471523
26874	1.0	7523371
26874	3.0	7371543
26874	1.0	743471
26874	1.0	7113471
26874	1.0	7263471
26874	1.0	7323471
26874	1.0	7523471
26874	3.0	7471543
27224	8.0	461358
27224	1.0	4358121
11125	6.0	72356
11125	3.0	71623
11125	3.0	75663
11125	6.0	76316
14294	7.0	38197
8703	3.0	72553
8703	5.0	75375
10336	8.0	411198
14802	5.0	75325
14802	3.0	77553
14802	5.0	71325
14802	5.0	71375
14802	5.0	715325
14802	5.0	715375
14802	5.0	717325
14802	5.0	717375
16176	1.0	4136111
16176	6.0	411126
21724	6.0	4111136
21724	1.0	426111
21724	6.0	4111296
21768	1.0	498111
23396	5.0	753215
23396	3.0	72513
23396	3.0	77513
23396	5.0	713215
23396	3.0	725153
23396	3.0	775153
23396	5.0	7153215
23396	3.0	725173
23396	3.0	775173
23396	5.0	7173215
23396	5.0	723325
23396	5.0	723375
23396	3.0	7215233
23396	5.0	726325
23396	5.0	726375
23396	5.0	7263215
24251	6.0	4344136
24251	6.0	434426
24251	4.0	4296344
25055	4.0	4111344
25161	1.0	4296111
25161	6.0	4111356
25758	8.0	413698
25758	8.0	42698
25758	8.0	429698
25758	8.0	435698
26197	3.0	721553
26197	5.0	753335
26197	5.0	753365
26197	3.0	721513
26197	5.0	713335
26197	5.0	713365
26197	3.0	7215153
26197	5.0	7153335
26197	5.0	7153365
26197	3.0	7215173
26197	5.0	7173335
26197	5.0	7173365
26197	3.0	725233
26197	3.0	775233
26197	5.0	7233215
26197	5.0	7233335
26197	5.0	7233365
26197	3.0	725263
26197	3.0	775263
26197	3.0	7215263
26197	5.0	7263335
26197	5.0	7263365
27617	7.0	6386327
27639	6.0	498136
27639	6.0	49826
27639	6.0	498296
27639	6.0	498356
27639	6.0	648386
27639	8.0	6386198
27639	8.0	6386288
27639	8.0	6386318
27680	3.0	733553
27680	3.0	736553
27680	3.0	733513
27680	3.0	736513
27680	3.0	7335153
27680	3.0	7365153
27680	3.0	7335173
27680	3.0	7365173
27680	3.0	7335233
27680	3.0	7365233
27680	3.0	7335263
27680	3.0	7365263
27680	5.0	739325
27680	5.0	739375
27680	5.0	7393215
27680	5.0	7393335
27680	5.0	7393365
28603	4.0	6327374
28603	7.0	644327
9825	3.0	725153
9825	5.0	715385
9825	5.0	7153145
11874	7.0	922317
11874	3.0	947223
11874	7.0	922357
11874	7.0	922317
11874	7.0	9223117
11874	7.0	9223127
11874	7.0	9223167
11874	7.0	9223177
14775	5.0	715325
14775	3.0	785153
14775	3.0	7145153
14775	5.0	715325
14775	5.0	7153255
17100	3.0	725153
17100	3.0	7255153
20705	3.0	917223
20705	7.0	922347
20705	3.0	957223
20705	3.0	917223
20705	3.0	9117223
20705	3.0	9127223
20705	3.0	9167223
20705	3.0	9177223
20705	7.0	9223267
20705	7.0	922337
20705	7.0	9223357
20705	7.0	9223387
20705	7.0	9223437
20705	7.0	9223487
20705	7.0	928317
20705	7.0	928347
20705	7.0	928357
20705	7.0	928317
20705	7.0	9283117
20705	7.0	9283127
20705	7.0	9283167
20705	7.0	9283177
20705	3.0	9267283
20705	7.0	928337
20705	7.0	9283357
20705	7.0	9283387
20705	7.0	9283437
20705	7.0	9283487
